Date,$ * #,Invoice,Market Value,Image,Image name,Category,Item name,Brand,Status,Count,Unit price,Total Market Price,Original Price,eBay Price,Use For,Status,Expired date,Sold date,Reviews,Recommend,Comments,From,Link
"Fri, Aug 12, 2022",,,,,Screen Shot 2022-08-12 at 5.03.24 PM,"Clothing, Shoes",Women's Striped Straw Bucket Hat - Universal Thread™,Universal Thread™,New,1,$20.00,$20.00,,,Sofia,Own used,,,,,,Target,https://www.target.com/p/women-s-striped-straw-bucket-hat-universal-thread/-/A-84937342?preselect=84692337#lnk=sametab
"Fri, Aug 12, 2022",,,,,Screen Shot 2022-08-12 at 5.15.52 PM,Kitchen @ Dining,"Nordic Ware 9"" Spring Form Pan Silver",Nordic Ware,New,1,$14.99,$14.99,,,Home,Own used,,,,,,Target,https://www.target.com/p/nordic-ware-9-spring-form-pan-silver/-/A-52302346#lnk=sametab
"Fri, Aug 12, 2022",,,,,Screen Shot 2022-08-12 at 5.35.45 PM,"Clothing, Shoes",Cat & Jack Tiered Sun Nightgown in Blue,Cat & Jack™,Open Box,1,$9.99,$9.99,,,Sofia,Own used,,,,,,Target,https://www.target.com/p/toddler-girls-ruffle-striped-nightgown-cat-jack-orange/-/A-84019050?preselect=83863936#lnk=sametab
"Fri, Aug 12, 2022",,,,,Screen Shot 2022-08-12 at 5.41.34 PM,School & Office Suppilies,Sharpie 5pk Permanent Markers Ultra Fine Tip Black,Sharpie,Open Box,1,$3.89,$3.89,,,Family,Own used,,,,,1 marker missing in set of 5 markers,Target,https://www.target.com/p/sharpie-5pk-permanent-markers-ultra-fine-tip-black/-/A-78025454#lnk=sametab
"Fri, Aug 12, 2022",,,,,Screen Shot 2022-08-12 at 6.10.04 PM,School & Office Suppilies,Swingline Staples for Standard Staplers 5000 Count chisel point Ln 1/4'',Swingline,New,5,$2.00,$10.00,,,Family,Own used,,,,,A pack of 5 boxes,Amazon,https://www.amazon.com/Swingline-Staples-Standard-Length-Strip/dp/B001FM66CI/ref=sr_1_6?crid=1PC9865SY46EP&keywords=swingline%2Bstandard%2Bstaples%2Bvalue%2Bpack&qid=1660352364&s=office-products&sprefix=swingline%2Bstandard%2Bstaples%2Bvalue%2Bpack%2Coffice-products%2C113&sr=1-6&th=1
"Fri, Aug 12, 2022",,,,,Screen Shot 2022-08-12 at 6.43.07 PM,"Clothing, Shoes",Slipper Socks with Grippers,,New,1,$12.00,$12.00,,,Sofia,Own used,,,,,,Target,https://www.target.com/p/women-39-s-harry-potter-fluffy-hedwig-slipper-socks-with-grippers-white-m-l/-/A-82860834?ref=tgt_adv_XS000000&AFID=google_pla_df&fndsrc=tgtao&DFA=71700000086349400&CPNG=PLA_Women%2BShopping_Traffic_Local_Traffic%7CWomen_Ecomm_AA&adgroup=SC_Women_Local&LID=700000001170770pgs&LNM=PRODUCT_GROUP&network=g&device=c&location=9032294&targetid=pla-318231221413&gclid=CjwKCAjw9NeXBhAMEiwAbaY4ljBG3N5TdneOSHYgeqzbv09ZpunFIPqW6B-q2ADJSw0-OhbddAZ8VRoCdmUQAvD_BwE&gclsrc=aw.ds
"Fri, Aug 12, 2022",,,,,Screen Shot 2022-08-12 at 6.51.42 PM,"Arts, Crafts & Sewing",Medium Woven Tree Decoration - Threshold,Threshold™,New,1,$10.00,$10.00,,,Home,Waiting to sell,,,,,,Target,https://poshmark.com/listing/Set-of-2-Medium-Woven-Tree-Decoration-62e8cfc1a0aeb70a1b53dcff?gclid=878767d3c0b61aec2c3d0524c2e38c83&gclsrc=3p.ds&utm_source=bdm&campaign_id=412848048&utm_campaign=412848048&ad_partner=bing&msclkid=878767d3c0b61aec2c3d0524c2e38c83
"Fri, Aug 12, 2022",,,,,Screen Shot 2022-08-12 at 6.55.51 PM,"Arts, Crafts & Sewing",Large Woven Tree - Threshold,Threshold™,New,2,$15.00,$30.00,,,Home,Waiting to sell,,,,,,Target,https://www.ebay.com/itm/134196141115?epid=15053178360&hash=item1f3eb69c3b:g:zE8AAOSwfdhiQwUQ&amdata=enc%3AAQAHAAAA8AB0mbm8OevA57cp7HBTYfAOc1H76%2F2axNCunL%2F0e6OeCb63gLE56%2BBJjMWfGg9F5UPoekQqpuMYxVheWt92%2BcclVj49PfwukhzPCkIxXedNOEia9N2ORF%2Fy70UlKkr4IQEm6ktJOHSCOkM6vp6%2FvVT8cmNUdLJ%2FYqWqxLgTL169YdmJTlnVYa5FnmvisX%2FfkkUKqjlJTWJozKLSpsv039Uq3tvQ3ymtDY0ohxiqjhiDMWik5asqxEIB5rTc6q1Zt3uJOmrUzqws7xBmqlLjeHuN25chBxke5Zci5xNMn7RyS0u9qmwvdqZ4MJcxq2b0vw%3D%3D%7Ctkp%3ABFBMkOHbztJg
"Fri, Aug 12, 2022",,,,,Screen Shot 2022-08-12 at 7.00.10 PM,"Clothing, Shoes",Women's Super Soft Modal Sweatshirt - All in Motion™,All in Motion™,New,1,$26.00,$26.00,,,Liping,Own used,,,,,,Target,https://www.target.com/p/women-s-super-soft-modal-sweatshirt-all-in-motion/-/A-83997094?preselect=83817119#lnk=sametab
"Fri, Aug 12, 2022",,,,,Screen Shot 2022-08-12 at 7.04.27 PM,"Clothing, Shoes",Women's Ruffle Tank Dress - Universal Thread™,Universal Thread™,New,1,$20.00,$20.00,,,Liping,Own used,,,,,,Target,https://www.target.com/p/women-s-ruffle-tank-dress-universal-thread/-/A-84314782?preselect=84150927#lnk=sametab
"Fri, Aug 12, 2022",,,,,Screen Shot 2022-08-12 at 7.21.46 PM,Toys,Nickelodeon Slime Strawberry Jelly Slime,Nickelodeon,New,1,$5.00,$5.00,,,Sofia,Own used,,,,,,Target,https://www.amazon.com/Cra-Z-Art-Food-Bundled-Together-Tray/dp/B089MXH3R3/ref=sr_1_11?crid=1U47ABC6D3I6O&keywords=Nickelodeon+Slime+Strawberry+Jelly+Slime&qid=1660357500&sprefix=nickelodeon+slime+strawberry+jelly+slime%2Caps%2C113&sr=8-11
,,,,,,,,,,,,0,,,,,,,,,,,
"Sat, Aug 13, 2022",0.25* 18,$4.87,$200.00,,IMG_1823,Others,16 items  X  $0.25,,New,16,$6.25,$100.00,,,Home,Own used,,,,,"5 small woven trees, etc",Target,
"Sat, Aug 13, 2022",,,,,IMG_1824,Home,House plant pot  X  $0.50,,New,25,$4.00,$100.00,,,Gifts,Waiting to sell,,,,,A whole box of house plant pot for only 50 cents,Target,
,,,,,,,,,,,,0,,,,,,,,,,,
"Tue, Aug 16, 2022",6*11,$71.44,$561.22,,IMG_1825,,,,,,,0,,,,,,,,,,,
"Tue, Aug 16, 2022",,,,,Screen Shot 2022-08-17 at 8.47.29 AM,Electronics,Apple AirPods Pro,Apple,Mint,1,$249.99,$249.99,,,Family,Own used,,,,,,Target,https://www.target.com/p/apple-airpods-pro/-/A-84852592?preselect=77603773#lnk=sametab
"Tue, Aug 16, 2022",,,,,Screen Shot 2022-08-17 at 9.05.01 AM,Electronics,"Kebei Wireless Earbuds,Upgraded Bluetooth 5.1 in-Ear Stereo Wireless Headphones,IPX7 Waterproof Wireless Earphones, 20 Hrs Sport Earbuds,Noise Cancelling Mics Earphones for iOS and Android (White)",Kebei,New,1,$19.99,$19.99,,,Liping,Own used,,,,,,Amazon,https://www.amazon.com/Bluetooth-Headphones-Waterproof-Earphones-Cancelling/dp/B09FJCK1KP/ref=sr_1_3?crid=3R74KZJDTGCLQ&keywords=kebei+wireless+earbuds&qid=1660752267&sprefix=kebei+wireless+earbuds%2Caps%2C135&sr=8-3
"Tue, Aug 16, 2022",,,,,Screen Shot 2022-08-17 at 9.10.00 AM,Electronics,"SanDisk 128GB Ultra Dual Drive Go USB Type-C Flash Drive, Rainbow Pride - SDDDC3-128G-GRNBW",SanDisk,New,1,$19.99,$19.99,,,Family,Own used,,,,,,Amazon,https://www.amazon.com/SanDisk-128GB-Ultra-Type-C-Rainbow/dp/B0B29GRK85/ref=sr_1_1?crid=2VDHEMTVXK4X1&keywords=sandisk+128gb+ultra+dual+drive+go+usb+type-c+flash+drive+rainbow&qid=1660752575&sprefix=sandisk+128gb+ultra+dual+drive+go+usb+type-c+flash+drive+rainbow%2Caps%2C117&sr=8-1
"Tue, Aug 16, 2022",,,,,Screen Shot 2022-08-17 at 9.13.24 AM,Electronics,Nintendo Switch Afterglow Wireless Deluxe Controller,Nintendo,Open Box,1,$44.99,$44.99,,,Family,Own used,,,,,,Target,https://www.target.com/p/nintendo-switch-afterglow-wireless-deluxe-controller/-/A-76439777#lnk=sametab
"Tue, Aug 16, 2022",,,,,Screen Shot 2022-08-17 at 9.20.23 AM,Home,"Energizer AA Batteries, Max Double A Battery Alkaline, 24 Count",Energizer,New,1,$17.97,$17.97,,,Home,Own used,,,,,,Amazon,https://www.amazon.com/Energizer-Batteries-Battery-Alkaline-E91BP-24/dp/B004U429AQ/ref=sr_1_3?crid=1VKB0YV2J7V81&keywords=energizer+AA+max&qid=1660753107&sprefix=energizer+aa+max%2Caps%2C158&sr=8-3
